,Alouatta_caraya,Ateles_geoffroyi,Callimico_goeldii,Callithrix_geoffroyi,Callithrix_jacchus,Cebuella_pygmaea,Cercopithecus_neglectus,Colobus_guereza,Eulemur_macaco,Galago_moholi,Galago_senegalensis,Gorilla_gorilla,Hylobates_lar,Lemur_catta,Leontopithecus_chrysomelas,Leontopithecus_rosalia,Macaca_fascicularis,Macaca_fuscata,Macaca_nigra,Macaca_silenus,Mandrillus_sphinx,Mico_argentatus,Microcebus_murinus,Nycticebus_coucang,Nycticebus_pygmaeus,Pan_troglodytes,Papio_hamadryas,Propithecus_coquereli,Saguinus_bicolor,Saguinus_imperator,Saguinus_midas,Saguinus_oedipus,Saimiri_sciureus,Sapajus_apella,Theropithecus_gelada,Trachypithecus_auratus,Trachypithecus_cristatus,Trachypithecus_francoisi,Varecia_rubra,Varecia_variegata
Galago_senegalensis,-0.0160984848484848,-0.170894996476392,-0.0862977602108038,-0.0171065493646138,-0.0092387287509238,-0.0336289726533629,-0.0205627705627705,-0.0260855982505467,-0.184848484848485,-0.0473484848484848,0,-0.0146992311171415,-0.143939393939394,-0.115996025832092,-0.102495543672014,-0.0404040404040404,0.0151515151515152,-0.0081042988019732,-0.0126262626262626,-0.0142602495543672,-0.0292929292929292,0.0151515151515152,-0.230462519936204,-0.0681818181818181,-0.209338280766852,0.0046251993620415,0.00544277728743753,-0.0648484848484848,-0.0248484848484848,0.0151515151515152,0.0151515151515152,-0.0594753505201266,-0.0365726227795193,0.0151515151515152,-0.004079254079254,-0.0218855218855218,0.0151515151515152,-0.0848484848484848,-0.120441705187468,-0.155901116427432
Gorilla_gorilla,-0.0013992537313433,-0.15619576535925,-0.0715985290936623,-0.0024073182474723,0.0054605023662177,-0.0189297415362214,-0.005863539445629,-0.0113863671334052,-0.170149253731343,-0.0326492537313433,0.0146992311171415,0,-0.129240162822252,-0.10129679471495,-0.0877963125548723,-0.0257048092868989,0.0298507462686567,0.0065949323151683,0.0020729684908789,0.000438981562774297,-0.0145936981757877,0.0298507462686567,-0.215763288819062,-0.0534825870646766,-0.19463904964971,0.019324430479183,0.020142008404579,-0.0501492537313433,-0.0101492537313433,0.0298507462686567,0.0298507462686567,-0.0447761194029851,-0.0218733916623778,0.0298507462686567,0.0106199770378875,-0.0071862907683803,0.0298507462686567,-0.0701492537313433,-0.105742474070326,-0.14120188531029
Hylobates_lar,0.127840909090909,-0.026955602536998,0.05764163372859,0.12683284457478,0.13470066518847,0.110310421286031,0.123376623376623,0.117853795688847,-0.040909090909091,0.096590909090909,0.143939393939394,0.129240162822252,0,0.027943368107302,0.04144385026738,0.103535353535353,0.159090909090909,0.135835095137421,0.131313131313131,0.129679144385027,0.114646464646465,0.159090909090909,-0.08652312599681,0.0757575757575757,-0.065398886827458,0.148564593301435,0.149382171226831,0.079090909090909,0.119090909090909,0.159090909090909,0.159090909090909,0.0844640434192672,0.107366771159875,0.159090909090909,0.13986013986014,0.122053872053872,0.159090909090909,0.059090909090909,0.023497688751926,-0.011961722488038
Lemur_catta,0.099897540983607,-0.0548989706443,0.029698265621288,0.098889476467478,0.106757297081168,0.0823670531787289,0.0954332552693213,0.0899104275815451,-0.068852459016393,0.068647540983607,0.115996025832092,0.10129679471495,-0.027943368107302,0,0.013500482160078,0.0755919854280514,0.131147540983607,0.107891727030119,0.103369763205829,0.101735776277725,0.0867030965391626,0.131147540983607,-0.114466494104112,0.0478142076502737,-0.09334225493476,0.120621225194133,0.121438803119529,0.051147540983607,0.091147540983607,0.131147540983607,0.131147540983607,0.0565206753119652,0.0794234030525725,0.131147540983607,0.111916771752838,0.09411050394657,0.131147540983607,0.031147540983607,-0.00444567935537599,-0.03990509059534
Leontopithecus_chrysomelas,0.086397058823529,-0.068399452804378,0.01619778346121,0.0853889943074,0.09325681492109,0.0688665710186509,0.0819327731092433,0.0764099454214671,-0.082352941176471,0.055147058823529,0.102495543672014,0.0877963125548723,-0.04144385026738,-0.013500482160078,0,0.0620915032679734,0.117647058823529,0.0943912448700406,0.0898692810457512,0.0882352941176466,0.0732026143790846,0.117647058823529,-0.12796697626419,0.0343137254901957,-0.106842737094838,0.107120743034055,0.107938320959451,0.037647058823529,0.077647058823529,0.117647058823529,0.117647058823529,0.0430201931518872,0.0659229208924945,0.117647058823529,0.0984162895927598,0.080610021786492,0.117647058823529,0.017647058823529,-0.017946161515454,-0.053405572755418
Leontopithecus_rosalia,0.0243055555555556,-0.130490956072351,-0.0458937198067634,0.0232974910394266,0.0311653116531166,0.0067750677506775,0.0198412698412699,0.0143184421534937,-0.144444444444444,-0.0069444444444444,0.0404040404040404,0.0257048092868989,-0.103535353535353,-0.0755919854280514,-0.0620915032679734,0,0.0555555555555556,0.0322997416020672,0.0277777777777778,0.0261437908496732,0.0111111111111112,0.0555555555555556,-0.190058479532163,-0.0277777777777777,-0.168934240362811,0.0450292397660819,0.0458468176914779,-0.0244444444444444,0.0155555555555556,0.0555555555555556,0.0555555555555556,-0.0190713101160862,0.0038314176245211,0.0555555555555556,0.0363247863247864,0.0185185185185186,0.0555555555555556,-0.0444444444444444,-0.0800376647834274,-0.115497076023391
Macaca_fascicularis,-0.03125,-0.186046511627907,-0.101449275362319,-0.032258064516129,-0.024390243902439,-0.0487804878048781,-0.0357142857142857,-0.0412371134020619,-0.2,-0.0625,-0.0151515151515152,-0.0298507462686567,-0.159090909090909,-0.131147540983607,-0.117647058823529,-0.0555555555555556,0,-0.0232558139534884,-0.0277777777777778,-0.0294117647058824,-0.0444444444444444,0,-0.245614035087719,-0.0833333333333333,-0.224489795918367,-0.0105263157894737,-0.00970873786407767,-0.08,-0.04,0,0,-0.0746268656716418,-0.0517241379310345,0,-0.0192307692307692,-0.037037037037037,0,-0.1,-0.135593220338983,-0.171052631578947
Macaca_fuscata,-0.0079941860465116,-0.162790697674419,-0.0781934614088306,-0.0090022505626406,-0.0011344299489506,-0.0255246738513897,-0.0124584717607973,-0.0179812994485735,-0.176744186046512,-0.0392441860465116,0.0081042988019732,-0.0065949323151683,-0.135835095137421,-0.107891727030119,-0.0943912448700406,-0.0322997416020672,0.0232558139534884,0,-0.0045219638242894,-0.006155950752394,-0.021188630490956,0.0232558139534884,-0.222358221134231,-0.0600775193798449,-0.201233981964879,0.0127294981640147,0.0135470760894107,-0.0567441860465116,-0.0167441860465116,0.0232558139534884,0.0232558139534884,-0.0513710517181534,-0.0284683239775461,0.0232558139534884,0.0040250447227192,-0.0137812230835486,0.0232558139534884,-0.0767441860465116,-0.112337406385495,-0.147796817625459
Macaca_nigra,-0.0034722222222222,-0.158268733850129,-0.0736714975845412,-0.0044802867383512,0.0033875338753388,-0.0210027100271003,-0.0079365079365079,-0.0134593356242841,-0.172222222222222,-0.0347222222222222,0.0126262626262626,-0.0020729684908789,-0.131313131313131,-0.103369763205829,-0.0898692810457512,-0.0277777777777778,0.0277777777777778,0.0045219638242894,0,-0.0016339869281046,-0.0166666666666666,0.0277777777777778,-0.217836257309941,-0.0555555555555555,-0.196712018140589,0.0172514619883041,0.0180690399137001,-0.0522222222222222,-0.0122222222222222,0.0277777777777778,0.0277777777777778,-0.046849087893864,-0.0239463601532567,0.0277777777777778,0.0085470085470086,-0.0092592592592592,0.0277777777777778,-0.0722222222222222,-0.107815442561205,-0.143274853801169
Macaca_silenus,-0.0018382352941176,-0.156634746922025,-0.0720375106564366,-0.0028462998102466,0.0050215208034434,-0.0193687230989957,-0.0063025210084033,-0.0118253486961795,-0.170588235294118,-0.0330882352941176,0.0142602495543672,-0.000438981562774297,-0.129679144385027,-0.101735776277725,-0.0882352941176466,-0.0261437908496732,0.0294117647058824,0.006155950752394,0.0016339869281046,0,-0.015032679738562,0.0294117647058824,-0.216202270381837,-0.0539215686274509,-0.195078031212485,0.0188854489164087,0.0197030268418047,-0.0505882352941176,-0.0105882352941176,0.0294117647058824,0.0294117647058824,-0.0452151009657594,-0.0223123732251521,0.0294117647058824,0.0101809954751132,-0.0076252723311546,0.0294117647058824,-0.0705882352941176,-0.106181455633101,-0.141640866873065
