species1,species2,n_population1,n_observation1,trait1,trait_ci_lb1,trait_ci_ub1,n_population2,n_observation2,trait2,trait_ci_lb2,trait_ci_ub2,trait_diff,trait_overlap,diff_value,overlap_use
Galago_senegalensis,Callimico_goeldii,66,1,0.0151515151515152,2.70561599553178e-05,0.0577160047524064,69,15,0.217391304347826,0.128170743692434,0.319160858198794,-0.202239789196311,FALSE,-0.202239789196311,FALSE
Gorilla_gorilla,Callimico_goeldii,67,14,0.208955223880597,0.120155734324225,0.311064499827234,69,15,0.217391304347826,0.128170743692434,0.319160858198794,-0.00843608046722899,TRUE,-0.00843608046722899,TRUE
Hylobates_lar,Callimico_goeldii,44,7,0.159090909090909,0.0662158815925952,0.275666772011294,69,15,0.217391304347826,0.128170743692434,0.319160858198794,-0.058300395256917,TRUE,-0.058300395256917,TRUE
Lemur_catta,Callimico_goeldii,244,38,0.155737704918033,0.112697925252209,0.203165011205152,69,15,0.217391304347826,0.128170743692434,0.319160858198794,-0.061653599429793,TRUE,-0.061653599429793,TRUE
Leontopithecus_chrysomelas,Callimico_goeldii,51,6,0.117647058823529,0.0433930085414775,0.215122793216635,69,15,0.217391304347826,0.128170743692434,0.319160858198794,-0.099744245524297,TRUE,-0.099744245524297,TRUE
Leontopithecus_rosalia,Callimico_goeldii,90,11,0.122222222222222,0.0621866562845742,0.195283382246493,69,15,0.217391304347826,0.128170743692434,0.319160858198794,-0.095169082125604,TRUE,-0.095169082125604,TRUE
Macaca_fascicularis,Callimico_goeldii,37,2,0.0540540540540541,0.00451596014887435,0.143504899802175,69,15,0.217391304347826,0.128170743692434,0.319160858198794,-0.163337250293772,TRUE,-0.163337250293772,TRUE
Macaca_fuscata,Callimico_goeldii,43,4,0.0930232558139535,0.0241800164899547,0.191534510824328,69,15,0.217391304347826,0.128170743692434,0.319160858198794,-0.124368048533872,TRUE,-0.124368048533872,TRUE
Macaca_nigra,Callimico_goeldii,36,1,0.0277777777777778,5.49719720521614e-05,0.103582670720407,69,15,0.217391304347826,0.128170743692434,0.319160858198794,-0.189613526570048,FALSE,-0.189613526570048,FALSE
Macaca_silenus,Callimico_goeldii,68,6,0.0882352941176471,0.031917080030165,0.163514641891754,69,15,0.217391304347826,0.128170743692434,0.319160858198794,-0.129156010230179,TRUE,-0.129156010230179,TRUE
Mandrillus_sphinx,Callimico_goeldii,45,4,0.0888888888888889,0.0230127556475903,0.18346692026325,69,15,0.217391304347826,0.128170743692434,0.319160858198794,-0.128502415458937,TRUE,-0.128502415458937,TRUE
Mico_argentatus,Callimico_goeldii,20,1,0.05,0.000118732524035412,0.179634582890624,69,15,0.217391304347826,0.128170743692434,0.319160858198794,-0.167391304347826,TRUE,-0.167391304347826,TRUE
Microcebus_murinus,Callimico_goeldii,57,14,0.245614035087719,0.143143776921009,0.361679877334054,69,15,0.217391304347826,0.128170743692434,0.319160858198794,0.028222730739893,TRUE,0.028222730739893,TRUE
Nycticebus_coucang,Callimico_goeldii,24,2,0.0833333333333333,0.00744065839317517,0.215076015702136,69,15,0.217391304347826,0.128170743692434,0.319160858198794,-0.134057971014493,TRUE,-0.134057971014493,TRUE
Nycticebus_pygmaeus,Callimico_goeldii,49,13,0.26530612244898,0.152087921083665,0.393040317967431,69,15,0.217391304347826,0.128170743692434,0.319160858198794,0.047914818101154,TRUE,0.047914818101154,TRUE
Pan_troglodytes,Callimico_goeldii,95,16,0.168421052631579,0.0996442095455808,0.247977064642223,69,15,0.217391304347826,0.128170743692434,0.319160858198794,-0.048970251716247,TRUE,-0.048970251716247,TRUE
Papio_hamadryas,Callimico_goeldii,103,5,0.0485436893203884,0.0148748076124849,0.0961960679003443,69,15,0.217391304347826,0.128170743692434,0.319160858198794,-0.168847615027438,FALSE,-0.168847615027438,FALSE
Propithecus_coquereli,Callimico_goeldii,25,4,0.16,0.0444228371819369,0.316667454426006,69,15,0.217391304347826,0.128170743692434,0.319160858198794,-0.057391304347826,TRUE,-0.057391304347826,TRUE
Saguinus_bicolor,Callimico_goeldii,25,1,0.04,8.7486963786008e-05,0.146129731147202,69,15,0.217391304347826,0.128170743692434,0.319160858198794,-0.177391304347826,TRUE,-0.177391304347826,TRUE
Saguinus_imperator,Callimico_goeldii,36,0,0,0,0.0516036429663788,69,15,0.217391304347826,0.128170743692434,0.319160858198794,-0.217391304347826,FALSE,-0.217391304347826,FALSE
