species1,species2,n_population1,n_observation1,trait1,trait_ci_lb1,trait_ci_ub1,n_population2,n_observation2,trait2,trait_ci_lb2,trait_ci_ub2,trait_diff,trait_overlap,diff_value,overlap_use
Microcebus_murinus,Alouatta_caraya,57,14,0.245614035087719,0.143143776921009,0.361679877334054,32,1,0.03125,6.36225594238962e-05,0.115852039252108,0.214364035087719,FALSE,0.214364035087719,FALSE
Nycticebus_coucang,Alouatta_caraya,24,2,0.0833333333333333,0.00744065839317517,0.215076015702136,32,1,0.03125,6.36225594238962e-05,0.115852039252108,0.0520833333333333,TRUE,0.0520833333333333,TRUE
Nycticebus_pygmaeus,Alouatta_caraya,49,11,0.224489795918367,0.119255643021404,0.34681383843601,32,1,0.03125,6.36225594238962e-05,0.115852039252108,0.193239795918367,FALSE,0.193239795918367,FALSE
Pan_troglodytes,Alouatta_caraya,95,1,0.0105263157894737,1.81049306972085e-05,0.0404125818906534,32,1,0.03125,6.36225594238962e-05,0.115852039252108,-0.0207236842105263,TRUE,-0.0207236842105263,TRUE
Papio_hamadryas,Alouatta_caraya,103,1,0.00970873786407767,1.65884883229933e-05,0.0373254163720349,32,1,0.03125,6.36225594238962e-05,0.115852039252108,-0.0215412621359223,TRUE,-0.0215412621359223,TRUE
Propithecus_coquereli,Alouatta_caraya,25,2,0.08,0.00708887477779123,0.207136510125643,32,1,0.03125,6.36225594238962e-05,0.115852039252108,0.04875,TRUE,0.04875,TRUE
Saguinus_bicolor,Alouatta_caraya,25,1,0.04,8.7486963786008e-05,0.146129731147202,32,1,0.03125,6.36225594238962e-05,0.115852039252108,0.00875,TRUE,0.00875,TRUE
Saguinus_imperator,Alouatta_caraya,36,0,0,0,0.0516036429663788,32,1,0.03125,6.36225594238962e-05,0.115852039252108,-0.03125,TRUE,-0.03125,TRUE
Saguinus_midas,Alouatta_caraya,22,0,0,0,0.0826924701398397,32,1,0.03125,6.36225594238962e-05,0.115852039252108,-0.03125,TRUE,-0.03125,TRUE
Saguinus_oedipus,Alouatta_caraya,134,10,0.0746268656716418,0.035700050278755,0.123505204502606,32,1,0.03125,6.36225594238962e-05,0.115852039252108,0.0433768656716418,TRUE,0.0433768656716418,TRUE
Saimiri_sciureus,Alouatta_caraya,116,6,0.0517241379310345,0.0182684298487825,0.0974443430939944,32,1,0.03125,6.36225594238962e-05,0.115852039252108,0.0204741379310345,TRUE,0.0204741379310345,TRUE
Sapajus_apella,Alouatta_caraya,26,0,0,0,0.070550756686437,32,1,0.03125,6.36225594238962e-05,0.115852039252108,-0.03125,TRUE,-0.03125,TRUE
Theropithecus_gelada,Alouatta_caraya,52,1,0.0192307692307692,3.54977155416648e-05,0.0727517084305247,32,1,0.03125,6.36225594238962e-05,0.115852039252108,-0.0120192307692308,TRUE,-0.0120192307692308,TRUE
Trachypithecus_auratus,Alouatta_caraya,27,1,0.037037037037037,7.90619029304496e-05,0.135978776603369,32,1,0.03125,6.36225594238962e-05,0.115852039252108,0.005787037037037,TRUE,0.005787037037037,TRUE
Trachypithecus_cristatus,Alouatta_caraya,28,0,0,0,0.0657249073411732,32,1,0.03125,6.36225594238962e-05,0.115852039252108,-0.03125,TRUE,-0.03125,TRUE
Trachypithecus_francoisi,Alouatta_caraya,30,3,0.1,0.0188084102849868,0.222956024272177,32,1,0.03125,6.36225594238962e-05,0.115852039252108,0.06875,TRUE,0.06875,TRUE
Varecia_rubra,Alouatta_caraya,59,8,0.135593220338983,0.0598859816677943,0.230361595890338,32,1,0.03125,6.36225594238962e-05,0.115852039252108,0.104343220338983,TRUE,0.104343220338983,TRUE
Varecia_variegata,Alouatta_caraya,76,13,0.171052631578947,0.0945779023525743,0.260856773652124,32,1,0.03125,6.36225594238962e-05,0.115852039252108,0.139802631578947,TRUE,0.139802631578947,TRUE
