"species","family","neoplasia_prevalence","malignant_prevalence","LQ","taxa_mean","taxa_median","taxa_sd","taxa_q25","taxa_q75","value","g_mean","g_median","g_sd","g_q25","g_q75","outlier","extreme_outlier","global_label","taxa_outlier","extreme_taxa_outlier","taxa_label"
"Gorilla_gorilla","Hominidae",0.208955223880597,0.0298507462686567,0.989565805738832,0.188688138256088,0.188688138256088,0.0286619873599574,0.178554595443834,0.198821681068343,0.208955223880597,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","high_extreme","normal","normal","high_extreme"
"Hylobates_lar","Hylobatidae",0.159090909090909,0.159090909090909,1.63237126876356,0.159090909090909,0.159090909090909,NA,0.159090909090909,0.159090909090909,0.159090909090909,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","normal","normal","normal","normal"
"Lemur_catta","Lemuridae",0.155737704918033,0.131147540983607,1.30860227262785,0.213176174668402,0.198483496877788,0.062073512838872,0.178764934704085,0.232894736842105,0.155737704918033,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","normal","normal","normal","low_extreme"
"Leontopithecus_chrysomelas","Cebidae",0.117647058823529,0.117647058823529,1.00419130810494,0.0869691239830848,0.0967741935483871,0.0646034805018302,0.04,0.117647058823529,0.117647058823529,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","normal","normal","normal","normal"
"Leontopithecus_rosalia","Cebidae",0.122222222222222,0.0555555555555556,1.43408825146479,0.0869691239830848,0.0967741935483871,0.0646034805018302,0.04,0.117647058823529,0.122222222222222,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","normal","normal","normal","high_extreme"
"Macaca_fascicularis","Cercopithecidae",0.0540540540540541,0,1.15152845211547,0.0666966450184884,0.0627413127413128,0.035076111030147,0.0367063492063492,0.0899224806201551,0.0540540540540541,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","normal","normal","normal","normal"
"Macaca_fuscata","Cercopithecidae",0.0930232558139535,0.0232558139534884,1.06729209546774,0.0666966450184884,0.0627413127413128,0.035076111030147,0.0367063492063492,0.0899224806201551,0.0930232558139535,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","normal","normal","normal","high_extreme"
"Macaca_nigra","Cercopithecidae",0.0277777777777778,0.0277777777777778,0.962167147008834,0.0666966450184884,0.0627413127413128,0.035076111030147,0.0367063492063492,0.0899224806201551,0.0277777777777778,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","low_extreme","normal","normal","low_extreme"
"Macaca_silenus","Cercopithecidae",0.0882352941176471,0.0294117647058824,1.13439513248979,0.0666966450184884,0.0627413127413128,0.035076111030147,0.0367063492063492,0.0899224806201551,0.0882352941176471,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","normal","normal","normal","normal"
"Mandrillus_sphinx","Cercopithecidae",0.0888888888888889,0.0444444444444444,0.92637995590969,0.0666966450184884,0.0627413127413128,0.035076111030147,0.0367063492063492,0.0899224806201551,0.0888888888888889,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","normal","normal","normal","normal"
"Mico_argentatus","Cebidae",0.05,0,0.845982204823032,0.0869691239830848,0.0967741935483871,0.0646034805018302,0.04,0.117647058823529,0.05,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","normal","normal","normal","normal"
"Microcebus_murinus","Cheirogaleidae",0.245614035087719,0.245614035087719,1.27873169898261,0.245614035087719,0.245614035087719,NA,0.245614035087719,0.245614035087719,0.245614035087719,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","high_extreme","normal","normal","normal"
"Nycticebus_coucang","Lorisidae",0.0833333333333333,0.0833333333333333,1.10467522417975,0.174319727891157,0.174319727891157,0.128674193175103,0.128826530612245,0.219812925170068,0.0833333333333333,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","normal","normal","normal","low_extreme"
"Nycticebus_pygmaeus","Lorisidae",0.26530612244898,0.224489795918367,0.952915909904387,0.174319727891157,0.174319727891157,0.128674193175103,0.128826530612245,0.219812925170068,0.26530612244898,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","high_extreme","normal","normal","high_extreme"
"Pan_troglodytes","Hominidae",0.168421052631579,0.0105263157894737,1.38732294470649,0.188688138256088,0.188688138256088,0.0286619873599574,0.178554595443834,0.198821681068343,0.168421052631579,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","high_extreme","normal","normal","low_extreme"
"Papio_hamadryas","Cercopithecidae",0.0485436893203884,0.00970873786407767,0.909662901960252,0.0666966450184884,0.0627413127413128,0.035076111030147,0.0367063492063492,0.0899224806201551,0.0485436893203884,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","low_extreme","normal","normal","normal"
"Propithecus_coquereli","Indriidae",0.16,0.08,0.945609474579486,0.16,0.16,NA,0.16,0.16,0.16,0.115265270592389,0.0971675845790716,0.080679506773093,0.0496359223300971,0.162105263157895,"normal","normal","normal","normal","normal","normal"
