"species","family","malignant_prevalence","malignant_count","adult_necropsy_count","neoplasia_prevalence","LQ","taxa_mean","taxa_median","taxa_sd","taxa_q25","taxa_q75","value","g_mean","g_median","g_sd","g_q25","g_q75","outlier","extreme_outlier","global_label","taxa_outlier","extreme_taxa_outlier","taxa_label"
"Macaca_nigra","Cercopithecidae",0.0277777777777778,1,36,0.0277777777777778,0.962167147008834,0.0306514786774854,0.0285947712418301,0.026441143110731,0.0168502613890963,0.0380870561282932,0.0277777777777778,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"normal","normal","normal","normal","normal","normal"
"Macaca_silenus","Cercopithecidae",0.0294117647058824,2,68,0.0882352941176471,1.13439513248979,0.0306514786774854,0.0285947712418301,0.026441143110731,0.0168502613890963,0.0380870561282932,0.0294117647058824,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"normal","normal","normal","normal","normal","normal"
"Mandrillus_sphinx","Cercopithecidae",0.0444444444444444,2,45,0.0888888888888889,0.92637995590969,0.0306514786774854,0.0285947712418301,0.026441143110731,0.0168502613890963,0.0380870561282932,0.0444444444444444,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"normal","normal","normal","normal","normal","high_extreme"
"Mico_argentatus","Cebidae",0,0,20,0.05,0.845982204823032,0.0420332068898097,0.04,0.0388485174050266,0,0.0555555555555556,0,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"normal","normal","low_extreme","normal","normal","normal"
"Microcebus_murinus","Cheirogaleidae",0.245614035087719,14,57,0.245614035087719,1.27873169898261,0.245614035087719,0.245614035087719,NA,0.245614035087719,0.245614035087719,0.245614035087719,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"high_outlier","normal","high_extreme","normal","normal","normal"
"Nycticebus_coucang","Lorisidae",0.0833333333333333,2,24,0.0833333333333333,1.10467522417975,0.15391156462585,0.15391156462585,0.0998126919021825,0.118622448979592,0.189200680272109,0.0833333333333333,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"normal","normal","normal","normal","normal","low_extreme"
"Nycticebus_pygmaeus","Lorisidae",0.224489795918367,11,49,0.26530612244898,0.952915909904387,0.15391156462585,0.15391156462585,0.0998126919021825,0.118622448979592,0.189200680272109,0.224489795918367,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"high_outlier","normal","high_extreme","normal","normal","high_extreme"
"Pan_troglodytes","Hominidae",0.0105263157894737,1,95,0.168421052631579,1.38732294470649,0.0201885310290652,0.0201885310290652,0.0136644358343983,0.0153574234092694,0.025019638648861,0.0105263157894737,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"normal","normal","low_extreme","normal","normal","low_extreme"
"Papio_hamadryas","Cercopithecidae",0.00970873786407767,1,103,0.0485436893203884,0.909662901960252,0.0306514786774854,0.0285947712418301,0.026441143110731,0.0168502613890963,0.0380870561282932,0.00970873786407767,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"normal","normal","low_extreme","normal","normal","low_extreme"
"Propithecus_coquereli","Indriidae",0.08,2,25,0.16,0.945609474579486,0.08,0.08,NA,0.08,0.08,0.08,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"normal","normal","normal","normal","normal","normal"
"Saguinus_bicolor","Cebidae",0.04,1,25,0.04,0.908733184357901,0.0420332068898097,0.04,0.0388485174050266,0,0.0555555555555556,0.04,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"normal","normal","normal","normal","normal","normal"
"Saguinus_imperator","Cebidae",0,0,36,0,1.12397473605413,0.0420332068898097,0.04,0.0388485174050266,0,0.0555555555555556,0,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"normal","normal","low_extreme","normal","normal","normal"
"Saguinus_midas","Cebidae",0,0,22,0,0.983606310228776,0.0420332068898097,0.04,0.0388485174050266,0,0.0555555555555556,0,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"normal","normal","low_extreme","normal","normal","normal"
"Saguinus_oedipus","Cebidae",0.0746268656716418,10,134,0.171641791044776,1.27896001950455,0.0420332068898097,0.04,0.0388485174050266,0,0.0555555555555556,0.0746268656716418,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"normal","normal","normal","normal","normal","high_extreme"
"Saimiri_sciureus","Cebidae",0.0517241379310345,6,116,0.0775862068965517,1.2838133125392,0.0420332068898097,0.04,0.0388485174050266,0,0.0555555555555556,0.0517241379310345,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"normal","normal","normal","normal","normal","normal"
"Sapajus_apella","Cebidae",0,0,26,0.115384615384615,1.5808398403266,0.0420332068898097,0.04,0.0388485174050266,0,0.0555555555555556,0,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"normal","normal","low_extreme","normal","normal","normal"
"Theropithecus_gelada","Cercopithecidae",0.0192307692307692,1,52,0.0192307692307692,0.890840355072966,0.0306514786774854,0.0285947712418301,0.026441143110731,0.0168502613890963,0.0380870561282932,0.0192307692307692,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"normal","normal","low_extreme","normal","normal","normal"
"Trachypithecus_auratus","Cercopithecidae",0.037037037037037,1,27,0.037037037037037,0.847592654426344,0.0306514786774854,0.0285947712418301,0.026441143110731,0.0168502613890963,0.0380870561282932,0.037037037037037,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"normal","normal","normal","normal","normal","normal"
"Trachypithecus_cristatus","Cercopithecidae",0,0,28,0.0357142857142857,0.840076721920615,0.0306514786774854,0.0285947712418301,0.026441143110731,0.0168502613890963,0.0380870561282932,0,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"normal","normal","low_extreme","normal","normal","low_extreme"
"Trachypithecus_francoisi","Cercopithecidae",0.1,3,30,0.133333333333333,0.75614106723843,0.0306514786774854,0.0285947712418301,0.026441143110731,0.0168502613890963,0.0380870561282932,0.1,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"normal","normal","normal","high_outlier","normal","high_extreme"
"Varecia_rubra","Lemuridae",0.135593220338983,8,59,0.186440677966102,1.23299983114277,0.159448348225384,0.153322925958965,0.0323990672232615,0.134481800500139,0.17828947368421,0.135593220338983,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"normal","normal","high_extreme","normal","normal","normal"
"Varecia_variegata","Lemuridae",0.171052631578947,13,76,0.210526315789474,1.32357962703265,0.159448348225384,0.153322925958965,0.0323990672232615,0.134481800500139,0.17828947368421,0.171052631578947,0.0669973997216692,0.040618556701031,0.0670715988221767,0.0222495527728086,0.10036231884058,"normal","normal","high_extreme","normal","normal","normal"
