"species","family","neoplasia_prevalence","taxa_mean","taxa_median","taxa_sd","taxa_q25","taxa_q75","value","g_mean","g_median","g_sd","g_q25","g_q75","outlier","extreme_outlier","global_label","taxa_outlier","extreme_taxa_outlier","taxa_label"
"Saguinus_oedipus","Callitrichidae",0.171641791044776,0.0864689824582446,0.0971675845790716,0.0669834708661166,0.0360975609756097,0.118790849673202,0.171641791044776,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","high_extreme","normal","normal","high_extreme"
"Saimiri_boliviensis","Cebidae",0.0508474576271187,0.0812727599694285,0.0775862068965517,0.0324261343367251,0.0642168322618352,0.0964854111405833,0.0508474576271187,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","normal","normal","normal","low_extreme"
"Saimiri_sciureus","Cebidae",0.0775862068965517,0.0812727599694285,0.0775862068965517,0.0324261343367251,0.0642168322618352,0.0964854111405833,0.0775862068965517,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","normal","normal","normal","normal"
"Sapajus_apella","Cebidae",0.115384615384615,0.0812727599694285,0.0775862068965517,0.0324261343367251,0.0642168322618352,0.0964854111405833,0.115384615384615,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","normal","normal","normal","high_extreme"
"Symphalangus_syndactylus","Hylobatidae",0.121212121212121,0.140151515151515,0.140151515151515,0.0267843477722178,0.130681818181818,0.149621212121212,0.121212121212121,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","normal","normal","normal","low_extreme"
"Theropithecus_gelada","Cercopithecidae",0.0192307692307692,0.062440259737346,0.0540540540540541,0.0369232226588603,0.0357142857142857,0.0888888888888889,0.0192307692307692,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","low_extreme","normal","normal","low_extreme"
"Trachypithecus_auratus","Cercopithecidae",0.037037037037037,0.062440259737346,0.0540540540540541,0.0369232226588603,0.0357142857142857,0.0888888888888889,0.037037037037037,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","low_extreme","normal","normal","normal"
"Trachypithecus_cristatus","Cercopithecidae",0.0357142857142857,0.062440259737346,0.0540540540540541,0.0369232226588603,0.0357142857142857,0.0888888888888889,0.0357142857142857,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","low_extreme","normal","normal","normal"
"Trachypithecus_francoisi","Cercopithecidae",0.133333333333333,0.062440259737346,0.0540540540540541,0.0369232226588603,0.0357142857142857,0.0888888888888889,0.133333333333333,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","normal","normal","normal","high_extreme"
"Varecia_rubra","Lemuridae",0.186440677966102,0.213176174668402,0.198483496877788,0.062073512838872,0.178764934704085,0.232894736842105,0.186440677966102,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","high_extreme","normal","normal","normal"
"Varecia_variegata","Lemuridae",0.210526315789474,0.213176174668402,0.198483496877788,0.062073512838872,0.178764934704085,0.232894736842105,0.210526315789474,0.108093567558767,0.0967741935483871,0.0786634466234857,0.0492718446601942,0.157414307004471,"normal","normal","high_extreme","normal","normal","normal"
